Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Löögid,Vastastelt_Löögid,Koduvõõrsil_Kood,Tulemus_Kood,Eelmine_Kohtumine
2024-11-10,Võõrsil,Chelsea,1-1,Viik,1,1,0,1,2
2024-11-06,Võõrsil,Inter Milan,0-1,Kaotus,0,1,0,0,1
2024-11-02,Võõrsil,Newcastle,0-1,Kaotus,0,1,0,0,2
2024-10-30,Võõrsil,Preston,3-0,Võit,3,0,0,2,1
2024-10-27,Kodu,Liverpool,2-2,Viik,2,2,1,1,2
2024-10-22,Kodu,Shakhtar Donetsk,1-0,Võit,1,0,1,2,2
2024-10-19,Võõrsil,Bournemouth,0-2,Kaotus,0,2,0,0,1
2024-10-05,Kodu,Southampton,3-1,Võit,3,1,1,2,2
2024-10-01,Kodu,PSG,2-0,Võit,2,0,1,2,2
2024-09-28,Kodu,Leicester,4-2,Võit,4,2,1,2,2
