Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Väravad,Vastastelt_Väravad
2024-12-18,Kodus,Crystal Palace,3-2,Võit,3,2
2024-12-14,Kodus,Everton,0-0,Viik,0,0
2024-12-11,Kodus,AS Monaco,3-0,Võit,3,0
2024-12-08,Võõrsil,Fulham,1-1,Viik,1,1
2024-12-04,Kodus,Manchester United,2-0,Võit,2,0
2024-11-30,Võõrsil,West Ham United,5-2,Võit,5,2
2024-11-26,Võõrsil,Sporting CP,5-1,Võit,5,1
2024-11-23,Kodus,Nottingham Forest,3-0,Võit,3,0
2024-11-10,Võõrsil,Chelsea,1-1,Viik,1,1
2024-11-06,Võõrsil,Inter Milan,0-1,Kaotus,0,1
2024-11-02,Võõrsil,Newcastle United,0-1,Kaotus,0,1
2024-10-30,Võõrsil,Preston North End,3-0,Võit,3,0
2024-10-27,Kodus,Liverpool,2-2,Viik,2,2
2024-10-22,Kodus,Shakhtar Donetsk,1-0,Võit,1,0
2024-10-19,Võõrsil,Bournemouth,0-2,Kaotus,0,2
2024-10-05,Kodus,Southampton,3-1,Võit,3,1
2024-10-01,Kodus,PSG,2-0,Võit,2,0
2024-09-28,Kodus,Leicester City,4-2,Võit,4,2
2024-09-25,Kodus,Bolton Wanderers,5-1,Võit,5,1
2024-09-22,Võõrsil,Manchester City,2-2,Viik,2,2
2024-09-19,Võõrsil,Atalanta,0-0,Viik,0,0
2024-09-15,Võõrsil,Tottenham Hotspur,1-0,Võit,1,0
2024-08-31,Kodus,Brighton,1-1,Viik,1,1
2024-08-24,Võõrsil,Aston Villa,2-0,Võit,2,0
2024-08-17,Kodus,Wolves,2-0,Võit,2,0
2024-08-11,Kodus,Olympique Lyonnais,2-0,Võit,2,0
2024-08-07,Kodus,Bayer 04 Leverkusen,4-1,Võit,4,1
2024-08-01,Võõrsil,Liverpool,1-2,Kaotus,1,2
2024-07-28,Kodus,Manchester United,2-1,Võit,2,1
2024-07-25,Kodus,Bournemouth,1-1,Viik,1,1
2024-05-19,Võõrsil,Everton,3-1,Võit,3,1
2024-05-12,Kodus,Wolves,5-0,Võit,5,0
2024-05-05,Võõrsil,Newcastle United,2-0,Võit,2,0
2024-04-27,Kodus,Chelsea,3-1,Võit,3,1
2024-04-21,Võõrsil,Southampton,3-3,Viik,3,3
2024-04-15,Kodus,West Ham United,2-2,Viik,2,2
2024-04-09,Võõrsil,Liverpool,2-2,Viik,2,2
2024-04-01,Kodus,Leeds United,4-1,Võit,4,1
2024-03-24,Võõrsil,Crystal Palace,4-1,Võit,4,1
2024-03-16,Kodus,Sporting CP,1-1,Viik,1,1
2024-03-12,Kodus,Fulham,3-0,Võit,3,0
2024-03-05,Võõrsil,Bournemouth,3-2,Võit,3,2
2024-02-28,Kodus,Everton,4-0,Võit,4,0
2024-02-23,Võõrsil,Leicester City,1-0,Võit,1,0
2024-02-16,Kodus,Brentford,1-1,Viik,1,1
2024-02-10,Võõrsil,Manchester City,1-3,Kaotus,1,3
2024-02-02,Kodus,Manchester United,3-2,Võit,3,2
2024-01-26,Võõrsil,Tottenham Hotspur,0-2,Võit,2,0
2024-01-19,Kodus,Newcastle United,0-0,Viik,0,0
