Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Väravad,Vastastelt_Väravad
2024-12-18,Kodus,Manchester City,2-0,Võit,2,0
2024-12-14,Võõrsil,Newcastle United,3-3,Viik,3,3
2024-12-07,Kodus,Everton,0-0,Viik,0,0
2024-12-04,Võõrsil,Sheffield United,1-2,Võit,2,1
2024-12-01,Kodus,Manchester United,2-0,Võit,2,0
2024-11-28,Võõrsil,Tottenham Hotspur,1-1,Viik,1,1
2024-11-25,Kodus,Arsenal,3-2,Võit,3,2
2024-11-21,Võõrsil,Leicester City,0-1,Võit,1,0
2024-11-18,Kodus,West Ham United,2-2,Viik,2,2
2024-11-14,Võõrsil,Crystal Palace,1-3,Võit,3,1
2024-11-10,Kodus,Brentford,2-0,Võit,2,0
2024-11-06,Võõrsil,Nottingham Forest,0-1,Võit,1,0
2024-11-02,Kodus,Leeds United,4-1,Võit,4,1
2024-10-29,Võõrsil,Bournemouth,1-1,Viik,1,1
2024-10-25,Kodus,Aston Villa,3-0,Võit,3,0
2024-10-21,Võõrsil,Brighton & Hove Albion,2-2,Viik,2,2
2024-10-17,Kodus,Chelsea,1-1,Viik,1,1
2024-10-13,Võõrsil,Southampton,0-2,Võit,2,0
2024-10-09,Kodus,Manchester City,2-1,Võit,2,1
2024-10-05,Võõrsil,Newcastle United,1-1,Viik,1,1
2024-10-01,Kodus,Everton,3-0,Võit,3,0
2024-09-27,Võõrsil,Sheffield United,0-2,Võit,2,0
2024-09-23,Kodus,Manchester United,2-2,Viik,2,2
2024-09-19,Võõrsil,Tottenham Hotspur,1-2,Võit,2,1
2024-09-15,Kodus,Arsenal,1-1,Viik,1,1
2024-09-11,Võõrsil,Leicester City,0-3,Võit,3,0
2024-09-07,Kodus,West Ham United,2-1,Võit,2,1
2024-09-03,Võõrsil,Crystal Palace,1-1,Viik,1,1
2024-08-30,Kodus,Brentford,3-0,Võit,3,0
2024-08-26,Võõrsil,Nottingham Forest,0-2,Võit,2,0
2024-08-22,Kodus,Leeds United,4-2,Võit,4,2
2024-08-18,Võõrsil,Bournemouth,1-1,Viik,1,1
2024-08-14,Kodus,Aston Villa,2-0,Võit,2,0
2024-08-10,Võõrsil,Brighton & Hove Albion,0-1,Võit,1,0
2024-08-06,Kodus,Chelsea,2-2,Viik,2,2
2024-08-02,Võõrsil,Southampton,1-2,Võit,2,1
2024-07-29,Kodus,Manchester City,3-1,Võit,3,1
2024-07-25,Võõrsil,Newcastle United,1-1,Viik,1,1
2024-07-21,Kodus,Everton,2-0,Võit,2,0
2024-07-17,Võõrsil,Sheffield United,0-2,Võit,2,0
2024-07-13,Kodus,Manchester United,1-1,Viik,1,1
2024-07-09,Võõrsil,Tottenham Hotspur,1-2,Võit,2,1
2024-07-05,Kodus,Arsenal,2-2,Viik,2,2
2024-07-01,Võõrsil,Leicester City,0-1,Võit,1,0
2024-06-27,Kodus,West Ham United,3-0,Võit,3,0
2024-06-23,Võõrsil,Crystal Palace,1-1,Viik,1,1
2024-06-19,Kodus,Brentford,2-1,Võit,2,1
2024-06-15,Võõrsil,Nottingham Forest,0-2,Võit,2,0
2024-06-11,Kodus,Leeds United,4-0,Võit,4,0
