Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Löögid,Vastastelt_Löögid,Koduvõõrsil_Kood,Tulemus_Kood,Eelmine_Kohtumine
2024-11-09,Kodu,Aston Villa,2-0,Võit,2,0,1,2,2
2024-11-05,Kodu,Bayer Leverkusen,4-0,Võit,4,0,1,2,2
2024-11-02,Kodu,Brighton,2-1,Võit,2,1,1,2,2
2024-10-30,Võõrsil,Brighton,3-2,Võit,3,2,0,2,2
2024-10-27,Võõrsil,Arsenal,2-2,Viik,2,2,0,1,2
2024-10-23,Võõrsil,RB Leipzig,1-0,Võit,1,0,0,2,1
2024-10-20,Kodu,Chelsea,2-1,Võit,2,1,1,2,2
2024-10-05,Võõrsil,Crystal Palace,1-0,Võit,1,0,0,2,2
2024-10-02,Kodu,Bologna,2-0,Võit,2,0,1,2,2
2024-09-29,Kodu,Everton,3-1,Võit,3,1,1,2,2
