Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Löögid,Vastastelt_Löögid,Koduvõõrsil_Kood,Tulemus_Kood,Eelmine_Kohtumine
2024-11-09,Kodu,Crystal Palace,3-0,Võit,3,0,1,2,2
2024-11-05,Kodu,Real Sociedad,2-2,Viik,2,2,1,1,2
2024-11-02,Võõrsil,Burnley,1-0,Võit,1,0,0,2,2
2024-10-30,Võõrsil,Wolves,2-1,Võit,2,1,0,2,2
2024-10-26,Kodu,Everton,3-2,Võit,3,2,1,2,2
2024-10-22,Võõrsil,Benfica,0-2,Kaotus,0,2,0,0,2
2024-10-19,Võõrsil,Aston Villa,1-1,Viik,1,1,0,1,2
2024-10-06,Kodu,Newcastle,2-0,Võit,2,0,1,2,2
2024-10-03,Võõrsil,Napoli,1-2,Kaotus,1,2,0,0,2
2024-09-30,Kodu,Tottenham,3-1,Võit,3,1,1,2,2
