Kuupäev,Koduvõõrsil,Vastane,Skoor,Tulemus,Vastastele_Väravad,Vastastelt_Väravad
2024-12-14,Võõrsil,Everton,3-1,Võit,3,1
2024-12-07,Kodus,Tottenham Hotspur,2-2,Viik,2,2
2024-12-01,Võõrsil,Manchester United,1-2,Kaotus,1,2
2024-11-24,Kodus,Chelsea,3-0,Võit,3,0
2024-11-10,Võõrsil,Liverpool,1-1,Viik,1,1
2024-11-03,Kodus,Southampton,4-1,Võit,4,1
2024-10-27,Võõrsil,Arsenal,0-2,Võit,2,0
2024-10-20,Kodus,Leicester City,3-2,Võit,3,2
2024-10-06,Võõrsil,West Ham United,1-1,Viik,1,1
2024-09-29,Kodus,Crystal Palace,2-0,Võit,2,0
2024-09-22,Võõrsil,Brighton & Hove Albion,0-3,Võit,3,0
2024-09-15,Kodus,Wolverhampton Wanderers,1-1,Viik,1,1
2024-09-01,Võõrsil,Newcastle United,2-2,Viik,2,2
2024-08-25,Kodus,Brentford,3-1,Võit,3,1
2024-08-18,Võõrsil,Sheffield United,0-2,Võit,2,0
2024-08-11,Kodus,Fulham,4-0,Võit,4,0
2024-05-19,Võõrsil,Everton,2-1,Võit,2,1
2024-05-12,Kodus,Chelsea,1-0,Võit,1,0
2024-05-05,Võõrsil,Leeds United,1-1,Viik,1,1
2024-04-28,Kodus,West Ham United,2-2,Viik,2,2
2024-04-21,Võõrsil,Tottenham Hotspur,0-1,Kaotus,0,1
2024-04-14,Kodus,Liverpool,2-1,Võit,2,1
2024-04-07,Võõrsil,Southampton,3-0,Võit,3,0
2024-03-31,Kodus,Arsenal,1-2,Kaotus,1,2
2024-03-24,Võõrsil,Leicester City,2-2,Viik,2,2
2024-03-17,Kodus,Crystal Palace,4-1,Võit,4,1
2024-03-10,Võõrsil,Brighton & Hove Albion,1-0,Võit,1,0
2024-03-03,Kodus,Wolverhampton Wanderers,3-2,Võit,3,2
2024-02-24,Võõrsil,Newcastle United,1-1,Viik,1,1
2024-02-17,Kodus,Brentford,2-0,Võit,2,0
2024-02-10,Võõrsil,Sheffield United,0-1,Võit,1,0
2024-02-03,Kodus,Fulham,3-0,Võit,3,0
2024-01-27,Võõrsil,Manchester United,1-2,Kaotus,1,2
2024-01-20,Kodus,Everton,2-1,Võit,2,1
2024-01-13,Võõrsil,Chelsea,0-1,Võit,1,0
2024-01-06,Kodus,Southampton,3-0,Võit,3,0
2023-12-30,Võõrsil,Arsenal,1-1,Viik,1,1
2023-12-23,Kodus,Leicester City,2-0,Võit,2,0
2023-12-16,Võõrsil,West Ham United,1-2,Võit,2,1
2023-12-09,Kodus,Crystal Palace,3-1,Võit,3,1
2023-12-02,Võõrsil,Brighton & Hove Albion,0-2,Võit,2,0
2023-11-25,Kodus,Wolverhampton Wanderers,4-0,Võit,4,0
2023-11-18,Võõrsil,Newcastle United,1-1,Viik,1,1
2023-11-11,Kodus,Brentford,2-1,Võit,2,1
2023-11-04,Võõrsil,Sheffield United,0-3,Võit,3,0
2023-10-28,Kodus,Fulham,5-1,Võit,5,1
2023-10-21,Võõrsil,Manchester United,2-2,Viik,2,2
2023-10-14,Kodus,Everton,3-0,Võit,3,0
2023-10-07,Võõrsil,Chelsea,1-2,Võit,2,1
